,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
PIP4K2C,0.23762104,0.4520118,0.40013123,0.06371878,0.08590307,0.50159675,0.13222258,0.059042327,0.23881994,0.1394764,0.13319206,0.22975565,0.91440576
DTX3,0.18827452,0.049180314,0.34420657,0.18144256,0.20627627,0.32050905,0.3506939,0.012215108,0.5295497,0.13535365,0.032574534,0.25010526,0.6084855
ARHGEF25,0.073915,0.05892568,0.35100427,0.06064988,0.11939303,0.28869945,0.12351781,0.010856956,0.18417998,0.08159185,0.012708117,0.019689107,0.5800528
SLC26A10,0.87230366,0.8865596,0.66450405,0.5488819,0.0961167,0.91109437,0.56694216,0.028692558,0.68787867,0.7038308,0.62509394,0.018831505,0.75794595
B4GALNT1,0.7350276,0.82552564,1.048887,0.7204545,0.20639083,0.7884362,0.6680918,0.3623011,0.77143013,0.60454243,0.8264168,0.05260007,0.6875466
OS9,0.7343069,0.636693,0.31986958,0.57908934,0.5127103,0.38616925,0.24820097,0.5206987,0.79880595,0.731087,0.1804896,0.70243675,1.2876931
AGAP2,0.16908182,0.17962238,0.61417496,0.17872815,0.02943497,0.50573283,0.17624936,0.042834084,0.3571154,0.061464347,0.16310942,0.015724352,0.9186533
TSPAN31,0.095277436,0.068396986,0.4541804,0.13097729,0.17371069,0.34661204,0.2500074,0.095324054,0.16506156,0.13371088,0.096922934,0.26209864,0.79731435
CDK4,0.08703621,0.2356648,0.3149006,0.34865564,0.24134862,0.48363203,0.11167327,0.09394018,0.43788663,0.049486935,0.088596165,0.24502428,0.50715667
MARCH9,0.21115828,0.37854892,0.41784036,0.3909216,0.10194038,0.4311053,0.2940843,0.10967213,0.18500295,0.08504674,0.14572203,0.23715526,0.71850574
CYP27B1,0.6036553,0.6505582,0.90626067,0.88803387,0.025478823,0.768691,0.70266414,0.038401816,0.9020982,1.0056062,0.4696701,0.018389804,0.91170734
METTL1,0.12934047,0.103571326,0.37386405,0.035458405,0.06256639,0.43245906,0.12671442,0.056594674,0.3017045,0.057428222,0.019777197,0.10049269,0.92818624
EEF1AKMT3,0.26987752,0.086852804,0.39951488,0.03855084,0.06482729,0.4757955,0.3547138,0.04914783,0.2748224,0.20320994,0.07844876,0.06231236,0.8003285
TSFM,0.1742083,0.07683454,0.31144834,0.1792589,0.19900794,0.24753314,0.13322751,0.090905756,0.19471745,0.0856836,0.07398528,0.24762546,0.74342877
AVIL,0.40108258,0.26579428,0.48214686,0.3532131,0.67467725,0.6753795,0.6718676,0.08804274,0.63463706,0.1790881,0.016519528,0.25796273,0.81518304
CTDSP2,0.7598039,0.18015586,0.88212806,1.1036965,0.714932,0.6750715,0.6400884,0.2703262,0.85676056,0.49866566,0.16209553,0.5706233,0.7837293
