,means_per_cluster_mu_fg_Adipocyte,means_per_cluster_mu_fg_B,means_per_cluster_mu_fg_Basal,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblast,means_per_cluster_mu_fg_LumHR,means_per_cluster_mu_fg_LumSec,means_per_cluster_mu_fg_Macrophage,means_per_cluster_mu_fg_Pericyte,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T,means_per_cluster_mu_fg_Tumor,means_per_cluster_mu_fg_pDC
ZNF764,0.20054129,0.1361418,0.5525854,0.18582296,0.044700295,0.4762313,0.16267315,0.037967216,0.27857673,0.045206595,0.071330756,0.11905505,0.63915837
ZNF688,0.19410904,0.06259694,0.32694843,0.15956143,0.0856035,0.33316907,0.100964285,0.036191627,0.2442928,0.11731017,0.048684366,0.30090892,0.66605014
ZNF785,0.7084129,0.286899,0.45152876,0.39479065,0.27210742,0.4164505,0.11971953,0.19932301,0.68899053,0.19555011,0.091342084,0.51803327,0.721961
ZNF689,0.45798585,0.08363306,0.4137828,0.103431486,0.05471059,0.40967,0.12398073,0.061720572,0.29024965,0.0494314,0.022089886,0.10364664,0.62795067
PRR14,0.1671073,0.18653546,0.3111563,0.16150287,0.15370306,0.38421273,0.107144475,0.0852867,0.16602127,0.12698649,0.09877746,0.22597301,0.74943274
FBRS,0.27566585,0.64774156,0.37121376,0.3203534,0.2661384,0.28863806,0.22875026,0.2096917,0.18805927,0.154215,0.1649742,0.6581652,0.76465917
SRCAP,0.3706496,0.23886631,1.0394468,0.5974497,0.28009436,0.63367647,0.3516298,0.28850716,0.40214008,0.41206953,0.2659192,0.5607196,0.74597734
TMEM265,0.19316654,0.12827535,0.44491917,0.42126742,0.16690642,0.35203645,0.2856623,0.12478223,0.18826894,0.22525042,0.09118639,0.6380111,0.767873
PHKG2,0.27399716,0.1099637,0.35021257,0.116833836,0.09922923,0.7013611,0.11801069,0.13976872,0.31982887,0.17813648,0.0373793,0.47594398,0.62092495
CCDC189,0.13985628,0.18144222,0.4385596,0.062171813,0.029718937,0.47081617,0.23681222,0.021444192,0.28674924,0.057838835,0.041090146,0.40640712,0.78618693
RNF40,0.19500965,0.06879794,0.31868327,0.07226112,0.21802077,0.3125948,0.11777431,0.12063935,0.17332958,0.21832068,0.13280414,0.4983672,0.76519567
ZNF629,0.18611051,0.063837156,0.52361107,0.074648775,0.08447622,0.3098391,0.24493192,0.05235637,0.21867323,0.0870143,0.0386331,0.27229768,0.74627316
BCL7C,0.5506182,0.05699682,0.39824906,0.4507034,0.32605523,0.349789,0.13457316,0.19180542,0.17114507,0.43567476,0.12683216,0.67195946,0.9247388
CTF1,0.855678,0.5731881,0.95338386,0.5921085,0.035241954,0.77826154,0.6063962,0.027764691,0.9265111,0.7298954,0.42985415,0.008002701,1.2488638
FBXL19,0.098603435,0.120930284,0.40013272,0.17483981,0.13033459,0.8521048,0.11256949,0.06297369,0.5579104,0.13742566,0.031983335,0.36402288,0.63207835
ORAI3,0.13625602,0.15920645,0.53443617,0.10826996,0.09088223,0.40379748,0.13084355,0.07146411,0.19067016,0.19074675,0.03465003,0.11609737,0.75734305
SETD1A,0.27602595,0.12739559,0.4025223,0.34303367,0.14953792,0.31557605,0.116323076,0.12199025,0.21505444,0.081239745,0.035442527,0.22322203,0.69495445
HSD3B7,0.08064213,0.051001184,0.3303797,0.060552068,0.07873354,0.23395081,0.103128225,0.026280848,0.31986666,0.045585327,0.016135875,0.091850005,0.6463893
STX1B,0.18554938,0.09679965,0.6012029,0.09406527,0.06134523,0.61367637,0.21531938,0.008520932,0.3358287,0.054938048,0.018372014,0.058426805,0.7315996
STX4,0.29837313,0.1226739,0.609627,0.38883743,0.3312735,0.29379815,0.38923338,0.4202081,0.16149436,0.14358796,0.12897307,0.47241935,0.9169735
ZNF668,0.13211985,0.080109425,0.47610143,0.1056728,0.08716211,0.39029443,0.4354882,0.048676018,0.29780728,0.1435114,0.033811755,0.09454645,0.9084968
ZNF646,0.12939009,0.08397115,0.4999907,0.10549995,0.093410715,0.4233418,0.1537949,0.059555084,0.25638908,0.15882169,0.03781798,0.14408155,0.6695147
PRSS53,0.3503947,0.16290416,0.5048229,0.19381014,0.06258627,0.6794208,0.34774217,0.016218148,0.5109247,0.103799775,0.028287942,0.05053792,0.7124027
VKORC1,0.17742516,0.07769376,0.39284477,0.30465305,0.34155384,0.28795505,0.25005737,0.108324304,0.3510886,0.45239133,0.083113246,0.5001458,0.6702828
BCKDK,0.08181806,0.1267372,0.2149642,0.21314767,0.060511597,0.34656054,0.2086594,0.06046694,0.14170867,0.039668933,0.016355516,0.15763867,0.7562818
KAT8,0.28591892,0.2631844,0.41034487,0.15438436,0.17405123,0.5806881,0.27059427,0.15993969,0.3540988,0.15652512,0.10935028,0.5294929,1.4212468
PRSS8,0.2780319,0.056495313,0.3115276,0.33527568,0.110567406,0.37714836,0.112892464,0.019380424,0.42324564,0.32227197,0.07700334,1.0386804,0.9517191
PRSS36,0.41085088,0.3887835,0.74409825,0.22787866,0.003830197,0.9347676,0.7404834,0.06563936,0.8094061,0.24869552,0.077725954,0.018122094,0.6351835
FUS,2.0204222,1.8152729,1.0290767,3.6892033,3.0418673,1.8138226,1.3464495,1.9376752,1.6471103,0.9732568,1.4540958,4.137385,1.4288039
PYCARD,0.10590209,0.13542603,0.8118144,0.20092008,0.1277648,0.37269583,0.24847937,0.15127648,0.5399061,0.18870743,0.08024885,0.31654656,0.73429185
TRIM72,0.6973476,0.47511494,0.83894604,1.0791297,0.5129294,1.13465,0.67779434,0.5550954,0.9363334,0.9280442,0.502553,0.11724189,0.8293605
PYDC1,0.71724856,1.0491853,0.92969567,0.82407683,0.32966363,0.81957656,0.7302224,0.18558028,0.87438565,0.5203256,0.45242682,0.11362094,0.8030127
ITGAM,0.114224456,0.2833752,0.39876682,0.1976724,0.15824313,0.34590912,0.1113818,0.70659137,0.2330999,0.2749496,0.06095611,0.1560952,0.85878
ITGAX,0.20962209,0.45574287,0.7945258,0.88459337,0.36640668,0.42054877,0.18857257,2.3758225,0.18912731,0.12667428,0.19189654,0.300927,0.8170131
ITGAD,0.19954352,0.105219655,0.90545315,0.36687216,0.07426796,0.72532403,0.24697311,0.3482475,0.40588066,0.17479171,0.044332962,0.046428837,0.7855226
COX6A2,0.9646458,0.6695953,0.91775775,0.9055958,0.38309228,0.765311,1.3679153,0.3096949,0.73657286,0.55681807,1.1792082,0.29074597,0.6344517
ZNF843,0.114967994,0.08604782,0.45733953,0.040961593,0.037259735,0.51503104,0.18438537,0.017002927,0.4138573,0.11116379,0.016373701,0.07154123,0.91682804
ARMC5,0.09769184,0.06979384,0.46574247,0.061994076,0.11905116,0.35497338,0.10649553,0.022628367,0.17843872,0.13598356,0.03334394,0.08103586,0.76293457
TGFB1I1,0.07345463,0.12208639,0.73009545,0.20450796,0.3017623,0.26072136,0.09201832,0.007880282,0.34271786,0.04594705,0.03550259,0.06675337,0.5968276
SLC5A2,0.7017712,0.64082223,0.7844345,0.30034488,0.008068161,0.7283481,0.8662023,0.011942916,0.7144093,0.42550874,0.13361505,0.029879596,0.70518094
C16orf58,0.2697558,0.11506354,0.41915965,0.29627252,0.25421664,0.2925925,0.11084916,0.09537359,0.21194105,0.18204367,0.14274138,0.40501165,0.58818966
AHSP,0.6701007,0.87525284,0.7900243,0.6247502,0.42524713,0.7840152,0.7396208,0.5351332,0.82919276,0.97166514,0.666436,0.25787517,0.8070046
ZNF720,1.014797,0.34375006,0.30730528,1.3875505,0.7806055,0.3572087,1.0501162,0.52255815,0.7797599,0.50264627,0.33276182,1.2105095,0.6363013
ZNF267,0.5061082,0.20482793,0.85511357,0.6806425,1.034754,0.7962088,0.11956181,1.2214702,0.21156298,0.5134037,0.5413608,0.90182817,0.6219262
SHCBP1,0.3906306,0.12827656,0.57926226,0.09077314,0.059394095,0.79553634,0.2777264,0.08762276,0.44650158,0.11939876,0.05506186,0.09008871,0.8436054
VPS35,0.4661137,0.369256,1.0445343,0.8639482,0.6565332,0.66056293,0.12617439,0.7330658,0.5236902,0.27462116,0.3367603,1.290079,0.5093394
ORC6,0.24679518,0.09659297,0.4913093,0.10504692,0.086681925,0.4951758,0.2868145,0.07402355,0.35115346,0.052208263,0.054963093,0.19662459,0.6833685
MYLK3,0.7330957,0.6011159,0.8230262,0.4788836,0.019574067,0.71507525,0.5582493,0.035173334,0.8121762,0.39390752,0.13572536,0.029957471,0.84306145
C16orf87,0.56054556,0.09167002,0.48414767,0.24539798,0.23428598,0.46403018,0.1337599,0.13844419,0.26751173,0.18898712,0.110903904,0.18319446,0.6605085
GPT2,0.8165165,0.15173934,0.46810365,0.035122454,0.045321684,0.47792605,0.27073157,0.047510505,0.25250313,0.16019677,0.020952323,0.18207295,1.041592
DNAJA2,0.44699162,0.13091403,0.28678814,0.47431797,0.28303313,0.3891774,0.091193005,0.1416555,0.202891,0.14187802,0.20120865,0.44307363,1.4714355
NETO2,0.5705285,0.35062286,1.1959467,0.7252971,0.15023397,0.76434106,0.8540763,0.19277616,0.5271419,0.17079823,0.13775389,0.23025668,0.70264906
ITFG1,4.6997952,2.8239272,0.9840316,4.7943463,4.7900777,2.0335593,3.0385718,4.085073,2.2833676,2.6467865,2.5237327,5.4853454,0.87078047
PHKB,3.0154355,2.7743113,0.66284215,4.040925,2.5350206,0.6289059,1.0159951,3.179359,1.6995696,2.3170016,1.502438,3.082618,2.2345173
ABCC12,0.91399604,0.71389425,1.0863993,0.8291283,0.31570432,1.100462,0.97213835,0.5534292,0.5608207,0.73764604,1.1413993,0.19676226,0.7592846
ABCC11,0.33422095,0.14130898,0.73502064,0.08906067,0.04319755,0.56047964,0.25194788,0.041091323,0.5346724,0.06335909,0.056085598,0.3103482,0.81498605
LONP2,2.4317374,0.85388184,1.2299297,2.9176836,2.1238372,0.8097652,2.2154493,1.5962359,0.70214117,1.4090793,1.0456744,3.383656,1.2494711
SIAH1,1.0679662,0.31226757,0.7890959,0.63435143,0.5488507,1.2387313,0.44364133,0.72007203,0.9145191,0.32962802,0.1364758,0.56867564,1.4475833
N4BP1,0.4716035,0.42482054,0.32401434,1.3729485,1.6581311,0.5739897,0.9091359,1.6135119,0.86942273,0.8935519,1.1116462,1.9475348,0.7709528
CBLN1,0.96062267,0.80462044,0.76379687,0.79188067,0.4189072,0.77667296,0.9008546,0.65430903,1.0100267,0.60340637,0.73399544,0.6758877,1.2234956
C16orf78,1.131483,0.9732193,0.7085169,0.5909385,0.4336743,0.8746745,0.82341677,0.4212511,0.7401851,0.659003,0.5034297,0.11311617,0.83291894
ZNF423,0.41792312,0.06972831,0.30953005,1.69382,1.0198938,0.6068635,0.14425589,0.022970632,0.90586376,0.105879046,0.0158795,0.26522022,0.9117374
CNEP1R1,0.4093714,0.13976425,0.5977687,0.23421516,0.17042418,0.3639345,0.15914652,0.16435228,0.19119094,0.0940559,0.087707914,0.18891703,0.71359074
HEATR3,0.10923449,0.24737239,0.4145366,0.43711305,0.27280185,0.69280195,0.24782,0.5015245,0.94333863,0.22889459,0.07688049,0.36575055,0.5895342
TENT4B,1.0346369,0.46304443,0.4733343,0.9274868,0.7806176,0.6843006,0.5894442,0.6478443,0.21397212,0.60211015,0.64116824,0.8698151,2.2285676
ADCY7,0.5515305,0.84478205,0.35532594,0.7903348,0.5374532,0.34203613,0.60685533,1.3428469,0.17131309,0.24615313,0.6006498,0.29466456,0.7195336
NKD1,0.16194205,0.25427988,0.6303509,0.22005695,0.5990152,0.42932406,0.20103705,0.04266759,0.29548562,0.10020725,0.20336467,0.1269795,0.7698155
SNX20,0.18185538,0.20913135,0.8661925,0.13703899,0.049966384,0.42619327,0.17568755,0.21550524,0.2771661,0.09784285,0.17020021,0.0419371,0.74297005
NOD2,0.28538823,0.090114705,0.51856863,0.13216521,0.061970983,0.48349595,0.41034696,0.18330397,0.3243422,0.24339901,0.04333384,0.054803945,0.78677535
CYLD,1.0827571,1.2752964,0.9021762,1.2897923,1.3211186,0.7207403,2.1471663,1.450271,1.2908585,1.7286613,1.6646366,1.2961121,2.3718913
HNRNPA1P48,0.24273974,0.06015391,0.4769959,0.10379806,0.010588074,0.6033925,0.15547068,0.012498127,0.24510567,0.053270034,0.05796765,0.04376056,0.77545977
TOX3,0.22232482,0.071547,0.59031713,0.10691695,0.0542954,0.49291465,0.522313,0.034380287,0.48355126,0.1521122,0.034860957,0.65623826,0.69450456
AC007906.2,0.40082648,0.09559713,0.5423907,0.12177644,0.0276774,0.63432175,0.26104435,0.012018867,0.41987914,0.12992276,0.042030495,0.3498939,0.51757944
CHD9,6.062903,3.0032918,2.0082204,6.794515,6.9886765,0.9652558,2.9682307,6.1770616,4.6216655,3.6421447,1.809196,6.2340355,4.2491846
RBL2,2.5751097,1.5160942,0.86355895,1.9833313,1.3880605,0.31134644,0.45668754,1.0192448,0.35647652,1.3081634,2.246995,1.9755507,0.6677014
AKTIP,0.46681955,0.13920727,0.3700113,0.17425877,0.17692737,0.35777208,0.115488425,0.12044718,0.19275355,0.13101421,0.32778767,0.29536673,0.7121181
RPGRIP1L,0.28963637,0.12011406,0.42814028,0.4588855,0.98160577,0.39070284,0.22420348,0.06868847,0.44425404,0.22961351,0.14262515,1.5760661,0.50547975
IRX3,0.28667963,0.13555689,0.33781722,0.14415869,0.1571644,0.42960492,0.48519126,0.015454436,0.16262636,0.21264675,0.10235011,0.80407584,0.638777
IRX5,0.109269276,0.075317994,0.42507753,0.16416967,0.12819363,0.3339139,0.23747398,0.0171948,0.2185958,0.12979719,0.054533202,0.6800865,0.8336714
IRX6,0.8595396,0.72942716,1.1414509,0.93679166,0.49101803,0.9214664,0.67512286,0.65939486,0.6184114,0.6820675,0.93237644,0.45818758,0.84833425
MMP2,0.2068303,0.21638165,0.36977926,2.28739,4.1643286,0.43421116,0.13276315,1.1848634,0.25597373,0.044709384,0.036088873,0.691901,0.6933633
LPCAT2,0.2180007,0.33386788,1.27484,1.9202641,0.79655993,0.4239781,0.24932164,2.7852018,1.0596092,0.27859974,0.11643646,0.3485993,0.6302431
CAPNS2,0.8655589,1.1252068,1.135924,0.61273354,0.07003109,0.7533856,0.9528937,0.07564378,0.6862711,0.7562204,0.58344626,0.014079732,0.73341364
SLC6A2,0.74639815,1.0362579,0.723093,0.5685326,0.0949911,0.77964246,0.8557642,0.111555524,0.7842264,0.7230403,0.6645992,0.010830684,0.9840882
CES5A,0.72374725,1.0149311,0.81485313,0.5232478,0.3553522,0.85917044,0.7971104,0.33042848,0.613441,0.6512248,0.8215282,0.10810309,1.084956
GNAO1,0.14333405,0.53163373,0.5691212,0.19237722,0.13760231,0.48098496,0.299706,0.105199516,0.51662374,0.11677677,0.16809665,0.20947963,0.7656968
AMFR,0.727549,0.67206377,0.67409873,0.6781364,0.5984638,0.67416656,0.33064985,0.6283559,0.74727476,0.47682172,0.28017175,1.2299289,0.5807938
NUDT21,0.29394144,0.116845295,0.4212935,0.45282722,0.26315954,0.65562195,0.3744934,0.22789836,0.6182467,0.23232281,0.18679267,0.5036708,0.57398957
OGFOD1,0.30817708,0.2995771,0.37549308,0.46874958,0.2747791,0.32401517,0.5115253,0.18711229,0.1797925,0.27616158,0.14634834,0.34641314,0.83508617
BBS2,0.27502212,0.2158199,0.38401157,0.49041012,0.4568536,0.3447953,0.23965114,0.2946325,0.21340644,0.19009218,0.1379804,0.9811702,0.70851547
MT4,0.95230544,0.95531803,0.84201324,0.8949225,0.8517991,0.6295436,0.7314039,0.7224326,0.7570277,0.7028333,0.5553026,0.2789777,0.8138957
MT3,0.95838195,0.7486298,0.739831,0.9258426,0.46094626,0.69493026,0.8407943,0.6688807,0.552481,1.0049337,0.64080334,0.4388516,1.0293795
MT2A,1.2675569,0.07588077,2.2254028,0.7336124,0.52769697,0.4376979,0.13532771,0.20064865,1.2347217,0.31977174,0.38699386,1.6161182,0.69167143
MT1E,0.5708271,0.07675158,1.2479665,0.22534785,0.14362802,0.48413473,0.22535758,0.054243054,0.28516248,0.16424412,0.02030412,0.5399788,0.67269635
MT1A,0.5348911,0.40259713,0.6767326,0.32808694,0.020590873,0.8174193,0.57166225,0.010282956,0.6124497,0.31347266,0.1048593,0.024262713,0.74274695
MT1F,0.124033496,0.10087817,0.6773397,0.08224715,0.018140944,0.63053393,0.14975576,0.0076016462,0.3269111,0.12782626,0.036173,0.08356904,0.8451427
MT1G,0.9201637,0.72892064,0.8270715,0.55095863,0.37968147,0.9063911,0.82186043,0.4269267,0.8670986,0.96484077,1.1011547,0.2821718,0.63798213
MT1H,0.9429316,0.7192508,0.67557436,0.7524187,1.0197365,0.9232533,0.73672587,0.3983421,0.7618843,0.8598771,0.64252466,0.49955538,0.7979409
MT1X,0.83981526,0.33223146,0.67144006,0.10614039,0.05003957,0.5253054,0.29841414,0.075403556,0.28363478,0.09103387,0.05888389,0.09529692,0.85235286
NUP93,0.35224932,0.12637116,0.9356401,0.53754896,0.61817926,0.8767142,0.3515469,0.55048376,0.8778303,0.27165064,0.28178766,0.8966434,1.2071295
SLC12A3,0.8568399,0.6965051,0.5983298,0.7626961,0.041849717,0.8810676,0.7836906,0.04513129,0.76148504,0.494996,0.3549914,0.0071513425,1.0980567
HERPUD1,1.2035,0.3475733,0.32587823,0.89963233,0.9541252,0.40421888,0.3525985,1.5296991,0.42580527,3.9720578,0.23278564,0.7544798,2.0119166
CETP,0.70169145,0.8659429,1.3524278,0.67282385,0.23054805,0.9929229,0.8406902,0.34277043,0.6156503,0.71024764,0.6819258,0.102969736,0.809895
NLRC5,1.5665365,1.4956597,0.91756296,1.9333898,0.9504219,0.3627885,0.124310926,0.7386568,0.775638,0.28286734,1.8598374,0.728799,0.778841
CPNE2,0.34665707,0.07934961,0.6445361,0.705464,0.10059098,0.5285052,0.16607745,0.12026908,0.38448924,0.09872899,0.06126181,0.05983622,0.89951825
FAM192A,0.5663903,0.459129,0.7384389,1.0345824,0.5512001,1.0490541,0.45757115,0.53822094,0.18907982,0.27074826,0.34485257,0.7388271,0.7983179
RSPRY1,0.6095984,0.11820189,0.31107953,0.984538,1.2234912,0.54596263,0.5440995,0.42880794,0.3265577,0.5449915,0.23575081,1.2190816,0.91521007
ARL2BP,0.18349613,0.29048866,0.32840598,0.46140835,0.17198604,0.34494027,0.15119444,0.08378386,1.1879084,0.23948085,0.05157972,0.2838882,0.3948413
PLLP,0.2816205,0.21432069,0.6646226,0.17252482,0.03197132,0.73469836,0.23982242,0.012309748,0.40520763,0.06354403,0.036379054,0.11175122,0.8288402
CCL22,0.78154814,0.56116694,0.6800228,0.33379945,0.007019413,1.11848,0.7411993,0.12019394,0.7377138,0.62516844,0.26553982,0.028923167,1.0162535
CX3CL1,0.6335255,0.56987375,0.6883544,0.67860377,0.044429976,0.7573816,0.91084385,0.012125002,0.82385147,0.49554524,0.46652347,0.0062779887,0.80481654
CCL17,0.8368389,0.78080606,0.5324064,0.5104488,0.09699762,0.72881943,0.64773256,0.120308325,0.51472986,0.6178475,0.4453271,0.011368138,0.942002
CIAPIN1,0.36828795,0.053766802,0.300414,0.43198976,0.23206797,0.4133117,0.2370142,0.11441966,0.20210925,0.17005174,0.22997828,0.34677842,0.86068046
COQ9,0.18656263,0.11837,0.32009345,0.07071395,0.17645031,0.43209836,0.12809604,0.11648795,0.4080991,0.045841858,0.021581914,0.35281438,0.8760893
POLR2C,0.16246879,0.22344188,0.59827363,0.12111518,0.08689937,0.2724062,0.10234457,0.0626427,0.19609448,0.080277674,0.068616845,0.21335144,0.68354917
DOK4,0.08950724,0.07703789,0.34118837,0.31823415,0.039572958,0.24628891,0.0900645,0.0055176504,0.16895346,0.14686927,0.051203925,0.0336058,0.70421565
CCDC102A,0.08536821,0.06428322,0.4209546,0.13587229,0.042489834,0.32264924,0.34177715,0.01862508,0.44504052,0.035257712,0.032298602,0.13603412,1.3241096
ADGRG5,0.19484346,0.7622325,0.7031025,0.062082767,0.056947917,0.4195666,0.24582943,0.064259194,0.48602745,0.3567061,0.14689311,0.027931577,1.0817024
ADGRG1,0.08908096,0.07297118,0.32867444,0.8693622,0.10452552,0.33972025,0.24297246,0.018520826,0.47965986,0.13968787,0.06436956,0.6328797,0.61801064
ADGRG3,0.42363346,0.33767733,0.6554237,0.25193453,0.013583802,0.9244214,0.5011877,0.006909107,0.78641665,0.20682438,0.03674092,0.07084301,0.7050913
DRC7,0.19110803,0.15924184,0.62784684,0.05919593,0.018258967,0.6500051,0.25550663,0.019928033,0.39195704,0.0718072,0.022334661,0.32220381,0.86826813
KATNB1,0.08276168,0.124986865,0.32517555,0.09398223,0.06925296,0.34519318,0.1312456,0.021927439,0.19931039,0.05169676,0.02026775,0.16995922,0.6884921
KIFC3,0.5565629,0.1277578,0.36421615,1.6021314,0.7524601,0.38924024,0.4203832,0.45432615,0.2254236,0.15004402,0.017063098,0.42251518,0.7943711
CNGB1,0.95437837,0.7384612,1.0565919,0.37663686,0.014750606,0.84363323,0.8751997,0.01759919,0.689522,0.50410265,0.26594794,0.021335857,0.6643578
TEPP,0.8228305,0.62738603,0.87062186,0.70189196,0.2057544,0.79247016,1.0152152,0.22927427,0.64312255,0.8197021,0.72754055,0.07483433,0.5751027
ZNF319,0.32791337,0.334542,0.55819696,0.13136141,0.019159151,0.6174059,0.21184567,0.0029865422,0.3568581,0.062571935,0.04689096,0.045695417,0.6505194
USB1,0.1019761,0.14977102,0.47483587,0.28597382,0.10720825,0.38659623,0.13103633,0.048456427,0.26200318,0.09378137,0.072192885,0.12575613,0.6989888
MMP15,0.38981068,0.19095942,0.6351613,0.43247876,0.005967073,0.60130525,0.4440476,0.0044936314,0.5581173,0.11137238,0.040504895,0.051476307,0.86216706
CFAP20,0.1971863,0.16307132,0.43697885,0.49292368,0.16303368,0.46153224,0.16217285,0.053050235,0.22104548,0.104851454,0.10638824,0.3129788,0.7065532
CSNK2A2,0.38752788,0.3053078,0.35590369,0.7435331,0.50254726,0.684901,0.7015842,0.38871783,0.35984406,0.22302407,0.16913992,0.6442561,0.69420385
CCDC113,0.09391654,0.060039386,0.38902375,0.13411176,0.074507326,0.36342317,0.12368277,0.014890427,0.21071142,0.042151973,0.02004319,0.67168796,0.75078773
PRSS54,0.55387574,0.4051316,1.0744346,0.58330333,0.0063700695,0.8157785,0.44724733,0.0057094954,0.57166713,0.4166415,0.28604594,0.028350176,0.8674223
GINS3,0.14458916,0.103279985,0.5602469,0.13181272,0.036121108,0.62178093,0.4305622,0.01702118,0.41347262,0.050047427,0.061851855,0.12046634,1.014689
NDRG4,0.5741255,0.44425726,1.0937936,0.465033,0.024412747,0.6216702,0.50221235,0.02158764,0.5849819,0.8309946,0.13973288,0.041781604,1.0576664
SETD6,0.07651867,0.060533065,0.32634923,0.030112214,0.08832219,0.28617388,0.21790165,0.050579473,0.18381271,0.1302123,0.052692533,0.21560247,0.5662785
CNOT1,1.1089356,1.4618645,0.3197719,2.3776486,1.9982938,0.5758157,1.2325709,1.7101209,1.0651417,1.6424398,1.0071893,2.52088,1.9115072
SLC38A7,0.16445929,0.07151021,0.4243201,0.23316869,0.22163132,0.33054736,0.13005738,0.17576206,0.44997507,0.085588664,0.017801803,0.2540225,1.0124193
GOT2,0.18964592,0.3187082,0.3915981,0.3370908,0.25979277,0.40557513,0.29755092,0.124663286,0.7976531,0.18546632,0.25110388,0.41771275,0.9413192
CDH8,0.6012944,0.50889444,0.8468338,0.42529938,0.035697456,0.84168065,0.6949758,0.02656841,0.7528727,0.40786946,0.25069696,0.0048401547,0.87879163
CDH11,0.5824152,0.306515,0.9887696,2.4815962,17.216793,0.7078999,0.2854046,0.2024037,2.68713,0.12593012,0.18645145,1.7690451,0.65512514
CDH5,0.10090574,0.068839416,0.3646316,2.0985081,0.027114244,0.3147589,0.120591246,0.0036153388,0.1695976,0.04108908,0.021070018,0.013970023,0.95192206
BEAN1,0.3326846,0.20338005,0.5674686,0.15469325,0.108532265,0.6917715,0.25759968,0.055470712,0.31530887,0.10198182,0.020157306,0.03946672,0.80584913
TK2,0.7760421,0.06296538,0.3988608,0.7596993,0.5970641,0.40409875,0.5999256,0.48393628,0.39103684,0.21276598,0.035718143,0.2662378,0.5972409
CKLF,0.6822254,0.55801415,0.74312216,0.64008486,0.82210064,0.35142273,0.40642315,1.082349,0.41784263,0.26704836,0.69160426,0.48757866,0.7589376
CMTM1,0.31861007,0.2827946,0.50160277,0.33701852,0.25342724,0.35436288,0.14932278,0.26193246,0.21111523,0.07233832,0.18987702,0.13741414,0.15299337
CMTM2,0.69075567,0.8222083,0.710109,0.8548973,0.06530685,0.78872615,0.77063954,0.073377095,0.7251644,0.8636347,0.62488925,0.029017346,0.7495128
CMTM3,0.10388038,0.22300997,1.0538777,0.40426552,0.44688416,0.37287664,0.2296134,0.21846914,0.5797576,0.14272863,0.075150736,0.1784434,0.9581603
CMTM4,0.5211891,0.13378657,0.38954675,0.27864978,0.5411503,0.3765157,0.9327445,0.13758954,0.41077796,0.21705757,0.05531617,0.6494581,0.7195607
DYNC1LI2,0.8684165,0.29245815,1.1140655,1.6128469,1.1723598,0.26852718,1.0035176,0.5021773,1.2668902,0.3218404,0.3851255,0.9372353,0.71395546
TERB1,0.6255097,0.56627715,0.80156004,0.33759314,0.05728877,0.8099253,0.60933316,0.022055866,0.7758824,0.40918306,0.14662817,0.019575095,0.8008116
NAE1,0.47313794,0.12587933,0.60268027,0.45079514,0.4820686,0.64870596,0.12370225,0.22708376,0.19410686,0.27657756,0.24826886,0.27235675,0.8113205
CA7,0.7769982,0.8504617,0.81282145,0.7856228,0.16398221,0.72788936,0.77878815,0.17555231,0.7105599,0.94179463,0.72424257,0.04141875,0.76079375
PDP2,0.71225697,0.30991608,0.5079146,0.08318909,0.037994374,0.38450652,0.15629366,0.028635932,0.31595066,0.051690932,0.0778726,0.09592111,0.85650855
CDH16,0.94798803,0.86225015,0.683198,0.66723305,0.44109964,0.91860795,0.875226,0.5615046,1.1415914,0.95238787,0.7784627,0.6105621,0.7590704
RRAD,0.48224807,0.30949432,0.7591411,0.13720706,0.14894257,0.78546715,0.42661455,0.013729092,0.569695,0.18262875,0.040209495,0.35486332,0.5003124
CIAO2B,0.48252767,0.30829394,0.2862981,0.25180927,0.14158766,0.31483844,0.13885735,0.06956599,0.22625442,0.09020779,0.11508986,0.30449638,0.45689517
CES2,0.39630386,0.21973638,0.4269979,0.3521455,0.17789818,0.7646332,0.26571682,0.11054374,0.27033556,0.04947077,0.11742484,0.23554687,0.61871207
CES3,0.6083644,0.7239183,0.95138,0.6458521,0.060381744,0.8236788,0.7920319,0.10562111,0.74187243,0.62930775,0.5237171,0.023063947,0.8985616
CES4A,0.25836396,0.2334876,0.62973785,0.08014486,0.03680112,0.8510329,0.48092145,0.025908196,0.56858534,0.12903121,0.055275254,0.014946794,0.77328664
CBFB,1.6041768,0.6226069,0.70563877,1.415794,1.6441582,0.32520553,0.22439063,1.1662726,1.2978048,1.0659361,0.81203806,0.99231267,1.4072317
C16orf70,0.38368422,0.12560587,0.41400623,0.3437142,0.28282708,0.34836772,0.13495405,0.3311246,0.2100092,0.12435604,0.12736599,0.22947328,0.9380419
B3GNT9,0.20381282,0.11763818,0.55767006,0.04629374,0.105744444,0.6155918,0.5151721,0.008572957,0.45003015,0.10287837,0.02114452,0.049866457,0.65750754
TRADD,0.26352337,0.055487704,0.27554578,0.30980793,0.11280191,0.3033243,0.22424452,0.1143833,0.1649442,0.1360752,0.090409085,0.19319858,0.8164758
FBXL8,0.31443623,0.19626534,0.33225814,0.16681287,0.124943055,0.3774833,0.28316113,0.032850076,0.22856353,0.04250048,0.01872264,0.08384454,0.84737164
HSF4,0.19004709,0.12835833,0.3189612,0.058632903,0.06584041,0.289406,0.11648595,0.02026371,0.16031115,0.085966974,0.07094346,0.05915749,0.9301069
