,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
NIPA2,1.0104623,0.55062455,0.36419007,0.3697062,0.5852476,0.29479882,0.99426705,0.40828696,0.75649804,0.40374473,1.5574121,0.90660846,0.31773317,1.7285929
CYFIP1,0.93112075,0.7630866,1.0042347,1.1938671,0.8899903,1.0663797,2.3141017,1.1362132,2.4509623,0.6635259,0.5073893,0.74333847,0.25658807,3.6698208
TUBGCP5,0.6367242,0.29269657,0.8488377,0.8260627,0.6009425,1.0499036,1.0790917,0.5006969,0.54475087,0.6728738,0.837407,0.19576347,0.31673235,1.4958564
GOLGA6L1,0.9040869,1.0740724,0.9931667,0.9860304,0.87765527,1.0350132,0.74606836,0.96545756,0.811606,0.94022596,0.727535,0.9090697,0.6863692,0.8153984
GOLGA8S,1.103603,0.9263668,0.95551616,0.7383473,0.8946909,0.8418927,1.0455716,0.8257694,0.88613987,0.9306419,0.8530058,0.8065582,0.76949114,0.84248793
AC100756.4,1.0071827,0.95058924,0.841355,0.8723822,0.876574,0.7931798,0.95973605,1.029328,0.7720529,0.89171904,0.40005496,0.6919494,0.68458927,0.54731727
GOLGA6L2,0.8600534,1.1649394,1.1693245,1.2208428,0.9008979,0.8751314,1.0386955,0.85728276,0.66746664,0.9996573,0.8122711,0.7787662,0.774604,0.5184394
MKRN3,1.0408192,0.68921304,1.0286282,0.2681235,0.7920396,0.21627559,0.64003724,0.25286147,0.030680541,0.55589294,0.7652415,0.062586814,0.064406306,0.024725305
AC126407.1,0.92630553,0.7644341,1.0221962,1.1471468,1.0314956,0.9945772,0.7046931,0.9532767,0.9809321,0.9815689,0.743428,0.77279574,0.6279994,0.58415425
MAGEL2,0.99991107,0.9652156,0.8645632,0.8662916,1.0321249,0.7066584,0.8535036,0.8929388,0.7790684,0.9242979,0.7350817,0.8400178,0.7244086,0.91642463
NDN,0.76209825,0.82581127,0.86379844,0.67185646,1.0595274,0.5505316,0.7242907,0.83648056,0.05557212,0.7131318,0.96310675,0.26727605,0.010652012,0.040378608
AC087490.1,0.72701126,1.0952649,0.6970655,0.9334562,0.9104267,0.9855381,0.9665247,0.8617212,0.7480984,1.0036703,0.8997548,0.76992834,0.5846588,0.6007748
PWRN4,0.6428994,0.14473526,0.3411413,0.09795409,0.5668368,0.017956778,3.9463701,0.107261986,0.017292587,0.12331436,0.67215204,0.023543712,0.014833711,0.02676363
PWRN1,0.78813934,0.26182055,0.44648674,0.146414,0.86822027,0.018644776,4.0526314,0.20068392,0.13055055,0.3293296,0.9215096,0.04321409,0.0043826634,0.02592991
PWRN2,0.98636717,0.8908971,0.8854107,0.6817979,1.0084058,0.8697899,0.89490205,0.8932033,0.77559197,0.8740307,0.84117734,0.7983222,0.7148685,0.7735579
AC087463.1,0.77406496,0.7866609,0.96604,1.0561816,0.81215304,0.6982468,0.9022245,1.0513664,0.7372106,0.9364826,0.6891789,1.1504604,0.56897295,0.6771389
AC087463.2,0.71908814,0.87297326,0.7554223,0.9147445,0.7638058,0.6798081,0.76489055,1.293757,0.8118041,1.269536,0.8187201,0.7619255,0.57611495,0.9659611
AC087463.3,0.8650364,1.0033941,1.0547305,1.0786849,0.9315383,0.9979333,0.9263469,0.9974175,0.7944703,1.0521823,1.0024115,1.027749,0.7782376,0.607818
NPAP1,0.98820364,0.9288942,0.7619102,1.0283599,0.7823407,0.8831598,0.80892473,0.8075017,0.82762516,0.8350416,0.8516047,1.0818236,0.949362,0.9301495
SNRPN,0.68694466,0.44455075,0.3717031,1.0648621,0.8700724,0.19426559,1.4537944,0.2126642,0.15954405,0.23096573,0.7211663,0.26507458,0.12113723,0.045719888
AC090983.1,0.912837,1.0277704,0.8831883,0.9773037,0.79887223,0.6917264,0.7411797,0.90176666,0.803511,1.0590746,1.0260774,0.97993547,0.7925604,0.8613
SNURF,1.0472645,0.70060205,0.77421343,0.6172079,1.0339158,0.11642204,0.7708347,0.47517058,0.03398645,0.46846405,0.9548833,0.09602841,0.015534217,0.014622064
SNHG14,5.700543,2.7209399,11.283927,17.52447,2.615113,6.258392,24.005623,2.0266674,3.3048728,4.9681787,6.2888947,4.3501067,2.6654382,4.8064876
AC124312.2,0.9009536,0.65327185,0.85130984,0.8355049,0.684545,0.94693714,0.7350536,1.200266,0.39388663,0.9900483,0.7880908,0.6571403,0.2480419,0.4556682
AC124312.3,0.9809651,1.0465782,0.8658168,0.8586152,0.9058541,0.7517363,1.0250342,0.69034433,0.74183786,0.7762711,0.7947708,1.1179334,0.815375,0.73938304
AC124312.5,0.7243516,0.44601947,0.64883286,0.78955084,0.36024,0.0627278,0.58134955,0.3171861,0.033792887,0.35234094,1.0438731,0.034141313,0.00888514,0.005676924
UBE3A,0.71887445,1.57128,2.1909668,3.312355,1.4098344,2.067784,3.5824878,1.6904106,2.9527824,2.290148,1.1837283,4.4821124,1.6431829,5.3959246
AC100774.1,0.8189889,0.75355554,1.0458202,0.9807004,1.1167691,0.66361296,1.0019164,0.8077283,0.52590543,0.8829803,1.0346661,0.7803887,0.36343595,0.3724206
LINC02250,0.97312474,0.33689466,1.1877414,0.4998646,0.9494797,0.13409564,0.4985155,0.22857891,0.03922006,0.30734932,1.4115422,0.03910385,0.01724052,0.051883064
ATP10A,0.89732283,0.18198547,0.73242176,2.7801576,0.67636436,2.1409402,0.15840127,0.31410846,1.4602984,2.4406142,1.5289855,0.40513027,1.6982402,0.53325754
AC023449.2,1.0025036,0.6714836,1.0626285,0.78662866,0.86739457,0.7313744,1.2283194,0.9305316,0.37145287,0.84238094,0.7080883,0.7108056,0.17066915,0.20462058
AC016266.1,0.928486,0.8630454,0.92926455,0.811704,0.92515445,0.8655697,1.2716162,0.8427887,0.68415236,0.85160553,0.9462522,0.54443866,0.7949494,0.7293819
LINC02346,0.7012787,0.6943491,0.9650064,0.8120569,1.0679616,0.77669764,1.0211445,0.97445905,0.55180866,0.9370339,0.8888551,0.96004677,0.59140253,0.4948929
AC100836.1,1.213843,1.1628236,0.8898163,1.1234602,0.9085524,0.8585568,0.8953104,1.0043772,0.78935874,0.9249327,0.5995327,0.95415175,0.8818846,0.762627
LINC00929,1.1726344,0.7973064,0.9978768,0.8972363,0.85880136,1.3116204,1.0379932,0.9136491,0.6880037,0.8461324,0.90889996,0.8551682,0.9371778,0.7369342
AC012060.1,0.836157,0.9774466,0.8511857,0.7978356,1.0378394,0.87478703,0.91816974,1.0824277,0.8140464,0.7497145,0.86998516,0.96532816,0.94692934,0.74162745
LINC02248,0.7057989,1.0209622,0.8176288,0.7428333,0.881391,0.85604656,0.88843757,0.9637331,0.8133748,1.052858,0.7993164,0.9016544,0.531035,0.8521549
AC009878.2,0.84733725,1.2553911,1.0984976,0.9037988,0.8074536,0.90311676,1.1122078,0.9411924,0.8689578,1.0237019,0.9802143,0.7708479,0.725402,0.5786153
GABRB3,0.5433422,0.21804146,1.4284561,3.1390846,0.54705125,0.1788705,6.0585704,0.22208652,0.012454974,0.7585673,2.3971605,0.021746969,0.006689591,0.0846802
AC009878.1,0.8527599,0.8330531,0.8997301,0.8629962,0.96624476,0.95156777,0.9881186,0.95781493,0.91131866,0.938024,0.99709666,1.122405,0.5671484,0.9708757
AC011196.1,0.77477413,1.1517477,0.7156088,0.8889372,0.9493298,0.8993585,0.7251948,0.95569086,0.8279269,0.7606076,0.91128564,0.8078831,0.89501,0.8244084
GABRA5,0.9827542,0.78023225,0.77855104,1.0158403,1.0201526,0.87582844,0.99420875,0.7721266,0.72639537,1.0057349,1.067535,0.81207806,0.31600007,0.5026137
GABRG3,0.6787417,0.8213791,0.7520264,0.7825294,0.827302,0.6176296,0.9027377,1.0293983,0.30658248,0.81343126,0.80401504,0.5596319,0.1367765,0.14098641
GABRG3-AS1,1.0288789,0.79485244,0.90408754,0.845182,0.90525955,0.7089134,1.0007209,0.76686805,0.79861593,0.9762404,1.0060598,0.757787,0.83360875,0.65575355
AC144833.1,0.8407361,0.71288645,1.0985787,0.87308294,0.957107,0.9848377,0.8746172,1.039809,1.0510932,0.9826837,0.8340624,0.9369093,0.86088175,0.5803615
AC104002.1,1.0389929,0.9234412,0.83496314,0.9385357,0.7700315,1.0543212,0.85455126,1.028552,0.87307405,0.9771529,0.78382665,0.74804825,0.6782164,0.82895327
AC104002.2,0.837396,0.8503673,0.7770169,0.9467034,0.7895337,0.794282,0.74895567,1.159308,0.72481704,0.8356462,0.9522868,0.9179173,0.7734524,0.8577787
AC104002.3,0.8056431,0.72688353,0.9609811,0.93262684,0.8005885,0.9380567,0.91079944,0.8561908,0.9418049,1.0136013,0.83147705,0.68338245,0.9331184,0.8556084
AC021979.1,0.88302785,1.1297389,0.79710126,1.0444213,0.8631931,0.81519645,0.874927,0.8151102,0.48379973,0.8871849,0.7344593,0.7884989,0.6118419,0.9760753
AC021979.3,0.5355031,0.9523738,0.89143217,0.912875,0.7858708,0.62919486,0.91478366,0.8009653,0.8700507,1.0692898,1.0355375,0.86785066,0.25351152,0.83747727
AC021979.2,0.9111676,0.96356547,0.90504396,0.8514069,0.82607716,0.9305818,0.7247829,0.93122333,0.79201996,1.2864928,1.060096,0.66782624,0.85387117,0.78456837
OCA2,0.78561383,0.5584049,0.49349254,0.33828375,0.85696626,0.29623017,1.0677711,0.35270038,0.01308244,0.4285333,0.8648403,0.028862799,0.008546525,0.1179174
AC090696.1,0.94866264,0.85793173,0.7872221,0.93494296,1.0212379,1.024289,1.0656983,0.9216096,0.5974751,0.9650312,0.7621552,0.66750526,0.8305468,0.7193228
HERC2,0.8998435,0.9769616,2.2183928,2.7431965,3.3714337,2.9125843,7.0526376,1.5050575,4.148497,1.0222375,4.6626453,3.8924708,1.4547665,6.8262157
GOLGA8F,1.053212,0.89076865,1.025148,1.0689893,0.9993684,0.478966,1.0575153,0.9778888,1.0189611,0.97887903,0.7015945,1.0564297,0.57983965,0.6620648
GOLGA8G,0.9226604,0.99062407,0.8944126,0.8874701,0.6551483,1.0122849,0.7070545,0.85304946,1.0882888,1.0507597,1.076789,1.0225031,0.68902475,0.8926438
GOLGA8M,0.9219369,0.6500671,0.7518785,0.76368564,0.9276174,0.1624852,0.8161679,0.61112165,0.041571926,0.6048094,0.9087954,0.19803342,0.010385988,0.054188743
GOLGA8M.1,0.88880056,0.9201247,0.935608,0.9579716,1.0740408,0.9074279,0.9688425,0.820808,0.7416187,0.85278744,0.73725075,0.8932747,0.8199053,0.5644492
GOLGA6L7,1.040925,0.83970684,0.76214904,0.941366,0.83857775,0.9002703,0.85256684,0.86044914,0.6460651,0.73444545,0.8547435,0.80485433,0.6837587,0.64131075
AC174469.1,0.8493158,0.8724073,0.9413707,0.9357693,0.85412985,0.76298416,0.8247162,0.818452,0.21919826,0.8957901,1.0550879,0.84319913,0.68359506,0.9089813
APBA2,0.6464767,0.2133206,0.5875495,0.15136528,0.60763305,0.38365194,0.43292058,0.5797244,0.052434217,0.16750212,0.80399555,0.3678924,1.2563207,0.15598917
AC127522.1,0.8595256,0.74666566,0.9384312,0.7750506,0.82499367,0.72475725,0.9067887,1.2866815,0.5627473,1.0874925,0.8743585,0.9103274,0.7043596,0.6789242
FAM189A1,1.9303857,0.30038345,2.1451693,0.7212753,0.81485957,0.39798236,3.8582375,0.2786551,0.025740644,0.20448795,0.6373116,0.15673237,0.007926459,0.04232461
NSMCE3,0.89128566,0.18029498,0.6898667,0.2968291,0.63734865,0.089025624,0.39834982,0.23452061,0.14752698,0.18755876,0.7245851,0.14414394,0.09714877,0.15751994
AC107980.1,0.8317573,1.0912716,0.9781051,0.9225409,0.8238924,1.0646397,0.887806,0.83298963,0.9958142,0.89379966,1.010173,0.5387661,0.6836554,0.7357705
AC102941.1,0.62482387,0.76912314,1.0265296,1.0254855,0.86761266,0.67546105,0.8678935,1.0865442,0.48493072,0.87830406,1.3529518,0.74429226,0.5121209,0.85374093
AC102941.2,0.72379905,0.7708145,0.9919863,0.8537899,0.9308194,1.1822976,0.85776675,0.7934055,1.2205249,0.81354886,0.8570502,0.70180625,0.6826234,0.63861716
AC022613.1,0.83101106,0.594942,0.8869719,0.52374446,0.8668252,0.032745633,0.64007473,0.41634932,0.016258081,0.6288952,0.8962449,0.04516003,0.005599565,0.07973347
TJP1,1.5572072,0.14183016,2.5612555,3.6087685,6.0636044,2.7137716,5.177212,2.3710551,0.4184706,0.26922515,1.7368565,0.33877298,0.13338263,11.904976
AC022613.3,0.8262163,0.19868234,0.6818031,0.28140748,0.542329,0.096097074,0.14363903,0.12379483,0.0068321335,0.13303411,0.62822574,0.021324048,0.012743813,0.298148
AC022613.2,0.93650955,0.7721898,0.9573856,1.0484428,1.036285,1.0204304,0.9462496,1.106338,0.9897695,0.9402414,0.9471513,0.88906395,0.5353523,0.92272156
AC111152.2,0.960194,0.9458032,0.7377081,0.8498917,1.3551186,0.8497202,0.9829119,0.97267896,0.86142653,0.89653605,0.9847699,0.8975986,0.8115467,0.9168365
GOLGA8J,0.90573174,0.9671927,0.9313894,0.8929239,0.87098706,0.7727762,0.82441264,1.0577328,1.0456786,1.160504,1.0476344,0.71520025,1.1502855,0.7892394
GOLGA8T,1.0368395,0.8741816,0.98533183,0.73305583,0.82785356,0.9242072,0.94411975,0.95318925,1.0134141,0.9167619,0.9642704,1.0599418,0.5318491,0.7074418
AC120045.1,0.9933114,0.99836266,1.0165979,0.6910365,1.3517882,1.1306579,0.9925935,1.2286346,0.7732133,0.91342163,1.0181876,1.1201243,0.7491953,0.8153528
LINC02249,0.71158665,0.91194975,0.8232863,1.05169,0.8740773,0.7014818,0.82077307,0.99636394,0.5670559,0.8426491,0.7173608,0.8559557,0.5886598,0.47704595
CHRFAM7A,0.9921412,0.27823278,0.5786874,0.13894284,0.67894787,0.06733933,0.22152364,0.18127981,0.15595403,0.4082333,0.8698775,0.04470278,0.00445514,0.023516238
GOLGA8R,0.79090714,0.29997477,0.66970015,0.26586488,0.72656226,0.09927349,0.25352576,0.3196157,0.22664495,0.42708787,0.8723866,0.05642255,0.03204206,0.06574438
AC127502.2,0.85792977,0.42630142,0.8876894,0.54080665,0.5096939,0.7182648,1.1363176,0.50050765,1.2119949,0.124490134,0.7344296,0.43357712,0.35525283,0.9845258
AC026150.1,0.8539714,0.73310715,0.8676462,0.6608029,0.80822045,0.064531885,0.69805175,0.5044205,0.050513905,0.6354541,0.8395723,0.08599823,0.017392378,0.06369819
GOLGA8Q,1.0515381,0.37234217,0.61133766,0.21210234,0.8620865,0.043500975,0.40532035,0.50978404,0.15742645,0.2634778,0.89429563,0.030592894,0.012082298,0.041214935
GOLGA8H,0.72836107,0.18720932,0.38312247,0.097861,0.9660204,0.035737425,0.13666545,0.10152526,0.11964606,0.14745821,0.5661545,0.06707303,0.0039109583,0.021743499
AC026150.3,0.94688505,0.9726302,1.0473989,1.0375004,0.7199496,0.63962436,0.95528364,0.82466346,0.58688325,1.01917,0.9556288,0.98383635,0.6430651,0.9733553
AC091057.3,0.7613231,0.15878175,0.43264034,0.092985556,0.64868534,0.113279246,0.4044023,0.1324534,0.13281259,0.14267823,0.5878595,0.018778635,0.011258499,0.062551044
AC091057.2,0.8679919,0.27254888,0.8692948,0.3732549,0.6393522,0.15115935,0.49831998,0.1660898,0.04375296,0.29873884,0.8386811,0.11756148,0.039194435,0.030740492
AC091057.6,0.9167632,0.41870856,0.967399,0.25182703,1.1572022,0.049297266,0.3607977,0.48839587,0.16650583,0.3369176,0.9867025,0.057810325,0.12583451,0.20082146
ARHGAP11B,0.7914062,0.6966955,0.7835229,0.2817356,1.156549,0.18161625,0.4948263,0.95478684,0.663348,0.3497978,0.7170564,0.098224245,0.41227645,0.43217415
FAN1,0.703019,0.8207146,0.8745687,0.4591852,1.8380154,0.53362465,1.6159401,0.30137983,0.9958307,0.25083154,1.0442693,1.6404848,0.3210025,1.2408023
MTMR10,1.6394267,0.8446088,1.9776009,0.7693302,1.4162922,0.64691865,1.0056778,0.65245724,2.4292312,0.56070685,0.612728,0.829283,0.47880247,1.5073935
AC009562.1,0.79565275,0.9733107,0.92880917,0.87679935,0.8022986,0.8373765,0.8284707,0.97075224,1.0459454,1.1274881,1.0311487,0.7619138,0.98630637,0.83546793
TRPM1,0.8295249,1.208707,0.9516675,0.7639192,1.0941371,1.0004964,0.8006038,0.9486918,0.43752876,0.8850422,1.1449405,1.0281367,0.34680927,0.40159902
LINC02352,0.66577685,0.19736066,0.36765948,0.114990845,0.76952213,0.04988053,0.12735361,0.10628699,0.025334738,0.2972274,0.5873917,0.103451185,0.020085238,0.2519731
AC012236.1,0.8206963,0.12952419,0.27563623,0.54101634,0.45889637,0.031900324,0.47407392,0.102660686,0.01968039,0.13491827,0.61877966,1.403661,0.022748679,0.7568635
KLF13,0.85314345,0.6090626,0.6171746,0.55409044,0.62021375,1.0002375,0.37149996,0.54642636,0.5662542,0.472448,0.5395695,1.89744,0.8525067,2.147498
OTUD7A,0.7225689,0.26154822,1.7284473,0.74484026,0.5521691,1.3702812,2.7720807,0.14724417,0.17514494,0.7305762,1.216752,0.12905726,0.08890954,0.5547022
CHRNA7,0.8456456,0.33359528,0.52597326,0.92577046,1.0217485,0.14000978,0.20541629,0.3085296,0.023996107,0.924255,0.78741765,0.055802256,0.007288135,0.36719847
AC139426.2,0.7971349,1.0703642,0.8315194,1.0547699,0.9031384,0.48290172,0.74824363,0.86869454,1.1988335,1.042568,0.9272489,0.848642,0.72552556,1.1781849
GOLGA8K,0.737856,0.7813957,0.9691814,0.77786607,0.99520725,0.53141195,0.97572666,0.7740564,0.24101426,0.92710686,0.81191695,0.59560794,0.037279673,0.07173217
GOLGA8O,0.87347054,0.19236392,0.80072916,0.22434674,0.5574187,0.24820893,0.21310678,0.10262415,0.85039383,0.17813098,0.6818378,0.025458828,0.056487802,0.13036814
LINC02256,1.7720417,0.42933708,1.3170016,1.1481166,1.7986624,1.1410744,1.6820601,0.8185272,1.1429176,0.78873265,0.64315057,0.639533,0.18549518,1.5717716
AC123768.4,0.6096173,0.95405436,0.77706933,0.6408579,1.0499382,0.10873385,1.0315207,0.6133354,0.031669177,0.51238173,0.6607788,0.1952727,0.01793477,0.042426288
AC123768.3,0.8948999,0.1960222,0.43984517,0.52467173,0.9016157,0.33551222,0.6935214,0.27267912,0.3384631,0.270655,0.77534187,0.12562893,0.06206392,0.23010424
GOLGA8N,0.90715873,0.26725724,0.31660175,0.51800644,0.5982038,0.18193929,0.38520426,0.2002007,0.5671024,0.28571978,1.1835349,0.12861988,0.032707926,0.17203039
AC123768.2,1.0024849,1.0624166,0.8680641,0.60308856,0.7423219,0.77981347,0.7453496,0.9527739,0.866248,0.7674586,1.141469,1.0404032,0.5810878,0.6062876
ARHGAP11A,0.7765792,0.43137258,0.76330984,0.21914326,1.244226,0.043028247,0.27741528,0.6473492,0.2020806,0.40607047,0.874493,0.16536358,0.07135704,0.1209843
AC123768.5,0.93149424,0.9673043,0.89563954,0.89147556,0.84660393,0.3481075,0.9160311,0.7194259,0.09366647,0.887797,0.69681585,0.4243824,0.042294774,0.059654023
SCG5,0.6710936,0.14568168,0.3389157,0.11273385,0.9231828,0.14097005,7.6154666,0.14038365,0.06630839,0.17987014,0.7253517,0.1863409,0.03303216,0.08802315
AC123768.1,1.0055283,0.94666326,0.9937877,0.75123537,0.7957383,0.47149915,0.9522321,0.93584937,0.2601681,0.849163,0.9569923,0.47151402,0.12684833,0.23011158
AC090877.2,0.9579763,0.83757156,1.1041563,0.90905464,0.81173366,1.1001754,0.9053278,0.88845766,0.7587987,0.95587134,0.8496838,0.74481016,0.81138414,0.51705444
GREM1,0.87433875,0.36383733,0.68119496,0.19725634,1.1150293,1.8608024,0.5688754,0.24593523,0.0760902,0.28530502,0.9449543,0.11375885,0.029707957,0.06746811
FMN1,1.6705279,0.13642861,2.412381,4.8518095,1.15726,1.5522325,4.7862325,5.7581973,29.496576,3.0816488,2.0554378,1.0713744,0.90291476,8.043251
AC055874.1,0.9504787,1.0675821,1.0425836,1.1971619,1.0570875,0.79706246,0.90313774,0.9641649,0.95037854,0.87001026,0.964636,1.0188571,0.8661159,0.713145
RYR3,0.5511255,0.19172838,0.33678153,0.10662587,0.5043846,0.20085964,0.12967038,0.09748363,0.05810947,3.4469311,0.5858099,0.2369565,0.018880477,0.11895569
AC010809.3,1.0136693,0.76811796,1.0684463,0.88773495,1.0519748,1.0760998,0.8645346,0.87490064,0.3749117,0.8515644,1.1209998,0.74690557,0.45182472,0.48226708
AC010809.2,0.89934254,0.7534451,0.7780831,0.4551069,1.0118228,0.12903143,0.7530357,0.7764786,0.03067002,0.5824727,0.8959092,0.13278078,0.014427097,0.063799724
AC010809.1,0.91596556,0.39859137,0.57987535,0.45193747,0.58054924,0.16105339,0.3049163,0.16057578,0.030396214,0.292124,0.7150801,0.13809459,0.02202491,0.19474483
AVEN,0.8743598,0.50558555,0.38016135,1.5051376,1.1494251,0.818215,1.3128818,0.44158733,0.62155116,0.18313645,0.6737636,1.6836823,0.23232816,1.3980515
CHRM5,0.65717685,0.24097787,0.46057928,0.56114674,0.7817786,0.113165416,0.33668387,0.25274175,0.18532577,0.31844705,0.82645345,0.35200676,0.1156018,0.5766416
AC009268.2,0.70491475,1.0984614,0.9444243,0.85725504,0.89829105,0.8587036,0.8936978,0.9410894,1.1276855,0.879421,0.78100216,0.85022336,0.79367906,0.679737
AC009268.3,0.8573521,0.76332814,0.74946094,0.8430354,0.90553457,0.88708264,0.94441533,0.954889,0.7403959,0.928019,0.8742355,0.6169664,0.88652784,0.84960914
EMC7,0.72950995,0.16063893,0.73233986,0.21484819,0.6532233,0.16738498,0.2389364,0.3966829,0.17068447,0.11724489,0.69934905,0.34970647,0.2760662,0.46861562
PGBD4,0.9005648,0.2773902,1.0367639,0.3822431,0.648799,0.051630884,0.15197605,0.13812967,0.042775128,0.24431573,0.6575771,0.042690314,0.04965122,0.27566835
KATNBL1,0.7941753,1.8873403,1.8370516,2.6141655,2.144926,1.7544848,2.2466757,1.6405218,2.6001985,0.9569238,0.8038181,1.7768079,0.9482716,4.5191665
EMC4,0.67020965,0.18115786,0.7574255,0.08358522,0.91466004,0.13125516,0.12809876,0.098254666,0.12101434,0.27242616,0.77009535,0.20179708,0.10015013,0.33226308
SLC12A6,0.8145534,1.2710177,0.25354284,0.5299026,0.9782364,0.82406974,1.767519,1.5956379,1.804926,1.1736708,0.72200865,1.6101213,1.2601696,1.933453
AC079203.2,0.72631824,0.49606633,0.90334946,0.40999374,0.7939133,0.12209272,0.3856167,0.33475417,0.05198202,0.3477499,0.9071204,0.1138653,0.04553521,0.115736015
NOP10,0.7961441,0.31695583,0.3174404,0.15958133,1.19453,0.07962106,0.24600774,0.30906162,0.3248112,0.15158163,1.0465053,0.35493663,0.08969108,0.7165622
NUTM1,0.9675742,0.9010486,1.066254,1.0674282,0.81477773,0.9723278,0.7965984,1.014871,0.6310259,1.0511769,1.0379882,0.615535,0.39488918,0.444992
LPCAT4,0.6582777,0.17269894,0.31613365,1.1528872,0.5604232,0.28610924,0.5469024,0.44264227,0.25606486,0.12666017,0.5980364,1.0005919,0.3653709,3.54548
GOLGA8A,1.6426986,1.0717354,2.127704,2.2427223,2.9801967,2.8666596,1.8821288,1.8343029,1.7874795,0.59215236,1.265243,2.459013,2.2692533,3.6699088
GOLGA8B,1.6861868,2.3596985,2.9500926,3.3307226,2.164616,2.7974646,3.6187618,1.3907989,1.620133,0.7180257,2.6411238,3.4165888,3.8753588,6.1096377
LINC02252,0.79042006,0.94575,0.8425156,0.78704804,0.64072615,0.92795056,0.97722334,0.88004065,0.82294685,0.8845964,0.9411019,0.6577553,0.63468146,0.7699898
AC100834.2,0.9517275,0.90021294,1.0962875,0.7938384,1.0255777,0.8693435,0.8027724,0.8903142,0.7389224,0.75382555,0.7304888,1.1492871,1.0355893,0.63359094
GJD2,0.962395,0.8833847,1.1171075,0.84911656,0.98129326,0.795682,0.9550788,0.90915793,0.8726312,0.9693946,0.75533485,0.725823,0.4793771,0.7128864
AC087457.1,0.6780169,0.16503367,0.43376037,0.092552066,0.4253152,0.017766176,1.4253012,0.09338823,0.0067878747,0.1650806,0.54357505,0.023775678,0.0043011135,0.0057822927
ACTC1,0.8692279,0.7389866,0.9428575,0.88448375,0.8346584,0.97426826,0.8619693,1.1994263,0.5704803,0.7662746,0.8005291,1.0038047,0.6783383,0.7936279
AQR,0.49364978,1.2663809,0.68462455,1.8623898,1.2908175,1.3284091,1.2117944,1.1576654,1.3323308,0.94211066,0.6675264,1.1112268,1.0243394,2.9670224
ZNF770,0.8033425,0.6931092,0.63282216,0.17664102,0.59280473,0.20134301,0.31214678,0.29613012,0.29950663,0.13315137,0.5392042,0.4846326,0.15209323,0.68022186
AC114546.1,0.8160039,0.9663075,1.1277024,0.8652919,1.0955176,0.8863699,0.85304326,0.99187857,0.9835576,0.8911085,0.9824887,1.0230944,0.63695276,0.71116465
AC114546.2,0.7768388,1.0257125,0.87833244,0.93037707,0.84455043,0.95569307,0.9599443,1.0097997,0.8346459,0.96042526,0.8140833,0.8384581,0.7049076,0.7725056
NANOGP8,0.96153516,0.92306507,0.99002796,0.768958,0.91795516,0.8055801,0.8437,0.8538109,0.81556076,0.99305034,0.8584144,0.9708832,0.6732435,1.1364341
AC021231.1,2.546474,0.18547349,1.4592408,0.92003226,0.58364516,0.5612945,2.6559358,0.31821653,0.22294803,0.14767854,0.75877285,0.08068646,0.054901794,2.1205406
DPH6,2.1914392,1.0187829,4.707429,4.454186,2.8725207,1.7802312,6.2122183,2.3436518,2.4361837,1.1421407,2.6155703,0.9312868,0.65728766,8.434317
DPH6-DT,0.6578935,0.14653282,1.8390896,1.5138034,1.4351087,2.5136473,6.1360693,0.23534746,0.44129005,0.16142169,0.78241086,0.2057061,0.07049859,3.4427092
LINC02853,0.8789598,0.5336976,0.6695282,0.26193827,0.68803287,0.13722989,0.51705545,0.3939986,0.02315757,0.41256884,0.7824985,0.023792472,0.0056910138,0.43984547
AC021351.1,0.80937696,0.5097375,0.7297819,0.34852454,0.8101305,0.055075012,0.54703003,0.42781103,0.0070815217,0.56979656,0.8344706,0.03704669,0.004193306,0.27719766
AC087516.1,0.96083474,0.8277781,0.8302939,0.81802475,1.0350019,0.68864954,0.94863844,0.80065817,0.55715454,1.0109613,1.1086957,0.77703685,0.7087117,0.7970107
AC087516.2,1.0595684,0.7822955,0.87272155,0.9958957,0.9965529,0.9239831,0.9815967,1.0520749,0.74814326,1.0642886,0.8251337,0.9567195,0.98817074,0.7770989
C15orf41,0.7091878,0.9384884,0.90679556,2.4487052,2.02629,0.9042348,3.5935915,0.7224572,0.82988876,0.62699234,0.7235593,0.7187081,0.6108352,8.462682
AC013640.1,0.87750334,0.15739314,0.318326,0.09778178,0.598849,0.06891422,0.23809701,0.2547039,0.018790038,0.12213977,0.6859645,0.06808387,0.030502805,0.6978866
AC018563.1,0.96019566,0.9825143,0.82506526,0.9354961,0.9855248,0.7305953,0.97441673,1.0114013,0.8301921,0.90886444,0.8414511,1.1237558,1.1124882,0.7126675
MEIS2,3.3930542,0.3364923,7.384733,16.574905,3.9166946,5.2191863,22.723726,2.044495,0.3546755,5.4673667,5.2559466,0.6951858,0.1929346,8.92934
