,means_per_cluster_mu_fg_ADM,means_per_cluster_mu_fg_B-cells,means_per_cluster_mu_fg_Ductal-like1,means_per_cluster_mu_fg_Ductal-like2,means_per_cluster_mu_fg_Endothelial,means_per_cluster_mu_fg_Fibroblasts,means_per_cluster_mu_fg_Islets,means_per_cluster_mu_fg_Low quality,means_per_cluster_mu_fg_Macrophages,means_per_cluster_mu_fg_Mast,means_per_cluster_mu_fg_Other_doublets,means_per_cluster_mu_fg_Plasma,means_per_cluster_mu_fg_T-cells,means_per_cluster_mu_fg_Tumor
AL645728.1,0.9252216,0.8959964,0.85144126,0.79352,1.0635053,0.5973036,0.9884204,0.780169,0.19358295,1.0171286,0.8189036,0.47037122,0.046394017,0.20937885
FNDC10,1.0169282,0.93172616,1.0224097,0.7652594,1.0890741,0.8242863,0.6883036,0.8288131,0.37871063,0.86223656,1.0371177,0.9549142,0.34488744,0.3362092
AL691432.4,1.0431585,0.988473,0.98542124,0.81140304,0.89072335,0.666814,1.0649478,1.0281603,0.75023067,0.9287784,0.9472234,0.85580623,0.46310312,0.41882804
AL691432.2,0.7245377,0.39571017,0.73511404,0.4427378,0.76877356,0.092892915,0.60616076,0.30837053,0.022888113,0.47290078,0.82735264,0.07173595,0.01898168,0.07333937
MIB2,0.78160167,0.3156533,0.29674718,0.2840481,0.39062157,0.26062727,0.26258907,0.12438769,0.17285626,0.26643535,0.6784183,0.16393992,0.075066395,0.3964435
MMP23B,0.73366874,0.14843759,0.36962354,0.09704285,0.93511426,0.4409981,0.084236145,0.21395662,0.036232453,0.12968129,0.63832986,0.06878443,0.016247282,0.25829154
CDK11B,0.67517984,0.5766849,1.7689738,0.36116266,1.2759796,0.27450427,0.54128784,0.6915887,0.6131804,0.24636132,0.604144,0.73958415,0.5325221,1.4239341
FO704657.1,0.7481682,0.75976956,0.75495875,0.49469894,0.83388746,0.07827262,0.45602998,0.60478926,0.020827083,0.7647002,0.87536836,0.16934969,0.010029657,0.10080779
SLC35E2B,0.7665885,0.57875293,2.114895,0.9262509,1.0577289,0.91764766,1.3020619,1.0028969,0.8011984,0.70757854,1.1713735,1.564882,0.7717165,1.6043173
CDK11A,1.6796601,0.7438885,0.5956879,1.1189759,0.8538121,0.5898527,0.8554559,0.3899171,0.782322,0.22057985,0.6369292,0.638527,0.57124525,1.8249497
SLC35E2A,0.8573478,0.3071841,0.2893181,0.09638096,0.51758033,0.6174227,1.9220006,0.59404147,0.550353,0.6315036,2.0949166,0.7755231,0.61838734,1.4377229
NADK,0.95160484,0.28946954,0.8426771,1.1500572,1.3098291,0.2753554,0.67753243,0.1153708,1.0485674,0.284334,0.53695744,0.7142055,0.1957233,1.7214159
GNB1,1.8465787,2.3692477,1.1407853,2.8803105,3.1427243,2.4427242,3.2846975,2.3663533,4.5546846,1.8448148,2.1081321,2.4497638,2.411799,8.186733
AL109917.1,1.0855612,0.9799858,0.85969085,0.89567226,0.9853631,0.839493,0.84349686,1.0523999,0.7342817,0.6624487,0.83910686,0.876648,0.74645346,0.6552443
CALML6,0.91338515,0.752576,0.92494226,0.68310547,0.7399898,0.6951457,1.2204486,0.89670676,0.63930964,0.73277533,0.83014435,0.7118173,0.6424983,0.40300462
TMEM52,0.92614806,1.0803866,0.6390519,0.82134515,0.94908875,0.9033332,0.48224348,1.0543644,0.71020013,0.94626874,0.9199602,0.79404926,0.7523925,0.6397772
CFAP74,0.7398319,0.805325,1.0735832,0.8916583,1.0561668,0.7951455,0.91803133,0.96287966,0.6619065,1.0755409,0.9031084,0.9243201,0.5413364,0.7350991
AL391845.2,1.0408497,0.9490336,0.91759104,0.77389526,1.077885,0.8141729,1.0198079,1.008345,0.8910219,0.9248043,0.796354,0.9588918,0.6570497,0.5417179
GABRD,0.93042564,0.9244536,0.7429144,0.99932253,0.7239058,0.88986635,0.95085484,1.1629604,1.0601684,1.2118975,0.7467193,0.8582331,0.6411894,1.288034
AL391845.1,1.0021104,1.0142878,0.8298174,0.98244184,0.8936615,0.9368347,1.0205214,0.7608136,0.98910433,0.62126905,0.9385125,0.82653135,0.7879724,0.60590994
PRKCZ,0.6353128,0.1719086,1.0303084,0.815772,1.3855793,0.1472027,1.5809518,0.46324804,0.2501144,0.12327234,0.60408074,0.58773077,0.3363172,1.4508673
AL590822.2,1.0140071,0.6484227,0.7470658,0.4121739,1.0018643,0.04671153,0.71010923,0.42216045,0.011274732,0.6614341,0.6691995,0.04245638,0.020710675,0.087993965
